Cluster,Namespace,Pod Name,Status,IP,Node,Created
myAKSCluster,default,nginx-deployment-96b9d695-7fmfw,Running,10.244.0.26,aks-nodepool1-41510693-vmss000001,2025-12-17 00:04:05+00:00
myAKSCluster,default,nginx-deployment-96b9d695-7wsjw,Running,10.244.0.71,aks-nodepool1-41510693-vmss000001,2025-12-17 00:04:05+00:00
myAKSCluster,default,nginx-deployment-96b9d695-sqx7c,Running,10.244.0.152,aks-nodepool1-41510693-vmss000001,2025-12-17 00:04:05+00:00
myAKSCluster,kube-system,ama-logs-nj8c6,Running,10.244.0.119,aks-nodepool1-41510693-vmss000001,2025-12-16 22:49:05+00:00
myAKSCluster,kube-system,ama-logs-rs-6547c9c4b5-rrd22,Running,10.244.1.195,aks-nodepool1-41510693-vmss000000,2025-12-16 22:49:05+00:00
myAKSCluster,kube-system,ama-logs-vxx24,Running,10.244.1.217,aks-nodepool1-41510693-vmss000000,2025-12-16 22:49:05+00:00
myAKSCluster,kube-system,azure-cns-8ctb8,Running,10.224.0.5,aks-nodepool1-41510693-vmss000001,2025-12-16 22:48:23+00:00
myAKSCluster,kube-system,azure-cns-hwjl7,Running,10.224.0.4,aks-nodepool1-41510693-vmss000000,2025-12-16 22:48:24+00:00
myAKSCluster,kube-system,azure-ip-masq-agent-6nhtd,Running,10.224.0.4,aks-nodepool1-41510693-vmss000000,2025-12-16 22:48:23+00:00
myAKSCluster,kube-system,azure-ip-masq-agent-kgl5r,Running,10.224.0.5,aks-nodepool1-41510693-vmss000001,2025-12-16 22:48:23+00:00
myAKSCluster,kube-system,cloud-node-manager-b2t7t,Running,10.224.0.4,aks-nodepool1-41510693-vmss000000,2025-12-16 22:48:24+00:00
myAKSCluster,kube-system,cloud-node-manager-ndphm,Running,10.224.0.5,aks-nodepool1-41510693-vmss000001,2025-12-16 22:48:23+00:00
myAKSCluster,kube-system,coredns-5b5b89b58c-dr725,Running,10.244.0.226,aks-nodepool1-41510693-vmss000001,2025-12-16 22:46:30+00:00
myAKSCluster,kube-system,coredns-5b5b89b58c-smgh6,Running,10.244.1.93,aks-nodepool1-41510693-vmss000000,2025-12-16 22:49:01+00:00
myAKSCluster,kube-system,coredns-autoscaler-67d9d668db-slmk4,Running,10.244.0.74,aks-nodepool1-41510693-vmss000001,2025-12-16 22:46:30+00:00
myAKSCluster,kube-system,csi-azuredisk-node-49qhh,Running,10.224.0.4,aks-nodepool1-41510693-vmss000000,2025-12-16 22:48:24+00:00
myAKSCluster,kube-system,csi-azuredisk-node-z5j29,Running,10.224.0.5,aks-nodepool1-41510693-vmss000001,2025-12-16 22:48:23+00:00
myAKSCluster,kube-system,csi-azurefile-node-xfmgp,Running,10.224.0.4,aks-nodepool1-41510693-vmss000000,2025-12-16 22:48:23+00:00
myAKSCluster,kube-system,csi-azurefile-node-xxvdp,Running,10.224.0.5,aks-nodepool1-41510693-vmss000001,2025-12-16 22:48:23+00:00
myAKSCluster,kube-system,konnectivity-agent-75f9ddb8c-5zs4j,Running,10.244.1.102,aks-nodepool1-41510693-vmss000000,2025-12-16 22:51:19+00:00
myAKSCluster,kube-system,konnectivity-agent-75f9ddb8c-pqgf4,Running,10.244.0.68,aks-nodepool1-41510693-vmss000001,2025-12-16 22:51:17+00:00
myAKSCluster,kube-system,konnectivity-agent-autoscaler-6ff7779788-dl7t9,Running,10.244.0.95,aks-nodepool1-41510693-vmss000001,2025-12-16 22:46:30+00:00
myAKSCluster,kube-system,kube-proxy-jtzkx,Running,10.224.0.4,aks-nodepool1-41510693-vmss000000,2025-12-16 22:48:24+00:00
myAKSCluster,kube-system,kube-proxy-ntmph,Running,10.224.0.5,aks-nodepool1-41510693-vmss000001,2025-12-16 22:48:23+00:00
myAKSCluster,kube-system,metrics-server-66b7768944-dfsff,Running,10.244.1.37,aks-nodepool1-41510693-vmss000000,2025-12-16 22:49:17+00:00
myAKSCluster,kube-system,metrics-server-66b7768944-nf7p6,Running,10.244.1.101,aks-nodepool1-41510693-vmss000000,2025-12-16 22:49:17+00:00
